user_id,username,platform,keyword,publish_time,content,likes,comments,reposts
1936076790,东营网官方微博,微博,养老,2025-03-10 20:48:38,【全国人大代表张翼：】 全国人大代表、中国社会科学院中国式现代化研究院院长张翼认为，农村居民每月领取240多元养老金难以保障老年人口基本生活。建议未来十年“加码”养老金，实现城乡居民基础养老金“倍增”，农民的基础养老金到2035年能提 ...全文,132,115,129
1642512402,中国新闻周刊,微博,养老,2025-03-10 20:48:38,【人社部部长：】人力资源和社会保障部部长王晓萍3月9日在十四届全国人大三次会议民生主题记者会上说，今年将稳步提高养老保险待遇水平。在去年的基础上，今年城乡居民基础养老金最低标准每月再提高20元，这项待遇提高涉及1.8亿城乡老年居民。同时适当提高退休人员基本养 ...全文,826,130,16
5539703320,耿向顺,微博,养老,2025-03-10 20:48:38,1、建议提高农民基础养老金，现在的农民养老金真的太低了，对养老起不到多大的作用；降低城乡医疗参保经费，现在的参保经费年年涨，人口多收入低的家庭压力很大。 2、建议对退休金进行限高，设置退休金的上限，将一些人的超高退休金降低到合理范围，缩减退休金差距， ...全文,267,45,36
6478526806,体界风云,微博,养老,2025-03-10 20:48:38,治愈宅家日常，松软的香辣豆腐粉丝包出锅啦～ 体界风云的微博视频,5,138,0
1644489953,南方都市报,微博,养老,2025-03-10 20:48:38,【全国人大代表赵冬苓：】2025年政府工作报告提出，全国城乡居民基础养老金最低标准将提高20元，引发广泛关注。2025年全国两会期间，全国人大代表、编剧赵冬苓继续围绕农民养老问题建言。赵冬苓通过深入调研发现，农村老人对养老金制度心怀感激，但 ...全文,314,66,27
2400814017,科技的那些事,微博,养老,2025-03-10 20:48:38,农村养老金必须提高，这样才能更好的照顾到农民，生产粮食一辈子了，老了干不动了，也要享受到此前购买的养老金补贴发放，额度高了，家里子女的压力也小点。,546,189,41
6531749317,橘子秋语,微博,养老,2025-03-10 20:48:38,现在的农民养老金，2022年和2023年都是170元。2024年是178元，涨了8元钱。2025年涨了20元，是198元钱。 如果说如按照代表的建议，每位老人每月能有600元，两个老人就能达到1200元。在农村来说，全国范围之内，年长的农民都有更宽裕的生活。 这是一个好提案，但是不得 ...全文,71,97,3
6320390715,不二食记,微博,老年人,2025-03-10 20:48:56,老年人一定要多吃的10种碱性食物 不二食记的微博视频,1325,131,755
5295229072,ST_Brush,微博,老年人,2025-03-10 20:48:56,现在这销售真是满嘴跑火车啊。我妈今天去买集成灶。对面销售这个忽悠啊。说这个灶八个孔。是八瓣莲花。招财进宝。八方来财。这一顿吹。总之大概意思就是你买了我的产品。你家就牛了。就能发财。艹。一个破灶还联系到风水上了。真的看老年人吃风水啊养生这套。活脱脱就是侮辱人智商。还有一些杂牌的饮水 ...全文,49,27,1
2830989192,一只猎奇的狗,微博,老年人,2025-03-10 20:48:56,大爷吐槽某办事单位，老年人窗口先给外国人办业务，老年人却要在一旁排队 一只猎奇的狗的微博视频,364,76,22
5584376600,皮肤病专家李志忠,微博,老年人,2025-03-10 20:48:56,老年人带状疱疹疼痛难忍，重用这味药效果就来了！ 带状疱疹大家应该都听说过吧，现在春天也比较容易好发，这病是由水痘 - 带状疱疹病毒引起的。这种病毒就像个 “潜伏者”，一直藏在我们身体里，等我们免疫力下降的时候，它就出来搞破坏了。不仅皮肤上会长红斑、水疱，还会侵犯神经节，疼起 ...全文,15,0,14
5612082871,杏仁郎中,微博,老年人,2025-03-10 20:48:56,老年人建议定期自我监测血压 测前应当休息5分钟，避免情绪激动、劳累、吸烟、憋尿。每次测量两遍，间隔1分钟，取两次的平均值。 高血压患者每天至少自测血压3次（早、中、晚各1次）。 警惕血压晨峰现象，防止心肌梗死和脑卒中；同时应当避免血压过低，特别是由于用药不当所致的低血压。,15,3,1
7920092287,GEA未來可期z,微博,老年人,2025-03-10 20:48:56,Green Earth Action ，我在行动！ 主题：绿色出行！ 今天上午，我穿着环保服走出小区，步行去硚口区古田医院去咨询一下老年人免费体检事项。 从小区出发，路径古琴路行至解放大道西附近硚口区古田医院，我走进医院就去老年人免费体检台咨询各项流程，为以后来检查做好各项准备。咨询好各项流程后步行 ...全文,39,0,0
5634013749,zfw平安浦城,微博,老年人,2025-03-10 20:48:56,【】？专家表示，刷短视频从心理角度上而言，会带来很强的精神活动。各种敏感的信息会引发以往的经历和不同想法。不愉快的经历甚至高兴的经历都会引起情绪的波动。短视频中的负面评论对于观看者的心理压力也会造成影响。 央视网的微博视频,83,45,50
7782884695,南归孤夷,微博,养老院,2025-03-10 20:49:15,这两位老人放弃国外绿卡也要回国养老，因为在那边找不到好的养老院，太差的养老院还不如中国的养老院 南归孤夷的微博视频,721,121,32
1726924044,金山二姐,微博,养老院,2025-03-10 20:49:15,养老院的现状 耐心看完 金山二姐的微博视频,957,107,260
7877747909,哇我的指甲好不错,微博,养老院,2025-03-10 20:49:15,【💅🏻25060】妇女节去做志愿，养老院组织带奶奶们体验一下美甲，奶奶们都很开心“亮亮的亮亮的”,1717,101,67
6357634985,蛮蛮少女,微博,养老院,2025-03-10 20:49:15,你以为的养老院和现实中的养老院！ 电视剧 蛮蛮少女的微博视频,947,35,14
6617001631,楼上_万能小黑君,微博,养老院,2025-03-10 20:49:15,你们来校园版，那我来一个养老院版天天滚滚咯 楼上_万能小黑君的微博视频,67,3,0
3649299644,和美泰山,微博,养老院,2025-03-10 20:49:15,"#你好,泰山区!# 成立于30年前的泰山区金秋艺术团由离退休女党员组成，现有成员50余人，平均年龄71岁，艺术团以弘扬正能量、唱响新时代为宗旨，每周深入社区、养老院、学校进行公益演出，展现了老党员离岗不离党、退休不褪色的精神风貌，成为泰山区银辉力量的生动缩影。 ...全文",21,14,7
2343014623,衝鋒号角,微博,养老院,2025-03-10 20:49:15,中国养老院里的护理机器人正在接受测试。 衝鋒号角的微博视频,336,48,52
2718034011,财武汉,微博,养老院,2025-03-10 20:49:15,武汉天地盖养老院，这一招妙啊 武汉天地这么核心的地段盖养老院，第一眼我以为看错了，这么金贵的地段盖尼玛养老院，影响多不好有生意吗，开发商脑子吃错药了，应该弄酒店大商场。 汉口武昌核心，商业酒店都严重过剩了，最后一期那个地块又小，弄商业百分百亏钱。省会的养老院都在郊 ...全文,35,5,3
